title,ingredients,instructions,cuisine,servings,time_minutes,ingredient_list
Chicken Udon Bowl (Style 2),"chicken, udon, cabbage, spinach, garlic, ginger, soy sauce, sesame oil","Cook udon, top with seared chicken, fresh cabbage, and a drizzle of sesame oil.",Japanese,3,22,300g chicken; 2 udon; 3 cabbage; 1 spinach; 2 cloves garlic; 1 tbsp ginger; 2 soy sauce; 1 tsp sesame oil
Lamb Orzo Stir-Fry,"lamb, orzo, spinach, tomato, eggplant, olive, garlic, feta","Heat oil in a wok, stir-fry lamb until cooked, add spinach and garlic, toss with orzo and serve hot.",Mediterranean,2,19,200g lamb; 1 orzo; 3 spinach; 3 tomato; 2 eggplant; 3 olive; 4 cloves garlic; 400g feta
Tofu Dumpling Wrappers Salad (Style 3),"tofu, dumpling wrappers, scallion, broccoli, sesame oil, garlic, ginger, vegetable oil","Combine scallion, tofu, and dumpling wrappers, dress with vegetable oil and sesame oil, toss well.",Chinese,4,18,150g tofu; 1 dumpling wrappers; 3 scallion; 1 broccoli; 2 tsp sesame oil; 3 cloves garlic; 1 tbsp ginger; 1 tbsp vegetable oil
Pork Noodles Soup,"pork, noodles, broccoli, carrot, bell pepper, sesame oil, vegetable oil","Simmer pork, broccoli, and sesame oil in broth, add noodles near the end, season and serve.",Chinese,6,40,200g pork; 400g noodles; 2 broccoli; 1 carrot; 3 bell pepper; 2 tsp sesame oil; 3 tbsp vegetable oil
Sausage Pasta Tacos (Style 3),"sausage, pasta, basil, zucchini, oregano, parmesan","Cook sausage with oregano, load into pasta with basil and parmesan.",Italian,2,30,1 sausage; 250g pasta; 3 basil; 2 zucchini; 2 oregano; 2 cup parmesan
Lamb Couscous Pasta,"lamb, couscous, onion, eggplant, parsley, yogurt","Boil couscous, saute lamb with parsley, toss with onion and yogurt.",Mediterranean,6,30,150g lamb; 400g couscous; 3 onion; 2 eggplant; 3 parsley; 1 cup yogurt
Lamb Rice Curry (Style 2),"lamb, rice, onion, olive, lemon, parsley, olive oil","Saute lemon, add lamb and onion, simmer in sauce until tender, serve over rice.",Mediterranean,6,44,150g lamb; 400g rice; 3 onion; 3 olive; 3 lemon; 1 parsley; 2 tbsp olive oil
Beef Corn Pasta (Style 3),"beef, corn, lettuce, jalapeno, avocado, onion, garlic, cumin, cilantro, sour cream","Boil corn, saute beef with garlic, toss with lettuce and sour cream.",Mexican,2,26,300g beef; 1 corn; 2 lettuce; 3 jalapeno; 1 avocado; 1 onion; 3 cloves garlic; 1 cumin; 2 cilantro; 3 sour cream
Tofu Dumpling Wrappers Soup (Style 3),"tofu, dumpling wrappers, bell pepper, snow peas, sesame oil, vegetable oil","Simmer tofu, bell pepper, and sesame oil in broth, add dumpling wrappers near the end, season and serve.",Chinese,4,46,150g tofu; 3 dumpling wrappers; 1 bell pepper; 2 snow peas; 1 tsp sesame oil; 1 tbsp vegetable oil
Egg Jasmine Rice Curry (Style 3),"egg, jasmine rice, broccoli, bell pepper, bean sprouts, chili, garlic, coconut milk","Saute chili, add egg and broccoli, simmer in sauce until tender, serve over jasmine rice.",Thai,6,42,3 egg; 200g jasmine rice; 1 broccoli; 1 bell pepper; 1 bean sprouts; 3 chili; 3 cloves garlic; 1 cup coconut milk
Chickpeas Potato Bowl,"chickpeas, potato, onion, peas, ginger, garam masala, turmeric, ghee","Cook potato, top with seared chickpeas, fresh onion, and a drizzle of ghee.",Indian,4,29,3 chickpeas; 1 potato; 2 onion; 3 peas; 2 tbsp ginger; 3 garam masala; 1 turmeric; 3 tbsp ghee
Bacon Bread Soup (Style 2),"bacon, bread, corn, bell pepper, garlic, olive oil","Simmer bacon, corn, and garlic in broth, add bread near the end, season and serve.",American,6,45,1 bacon; 1 bread; 3 corn; 2 bell pepper; 2 cloves garlic; 2 tbsp olive oil
Shrimp Polenta Skillet (Style 3),"shrimp, polenta, spinach, zucchini, onion, parmesan","Brown shrimp in parmesan, add spinach and onion, fold in polenta, cook until done.",Italian,3,29,300g shrimp; 1 polenta; 3 spinach; 3 zucchini; 2 onion; 2 cup parmesan
Turkey Bun Tacos (Style 2),"turkey, bun, onion, mushroom, paprika, garlic, cheese","Cook turkey with paprika, load into bun with onion and cheese.",American,3,30,2 turkey; 1 bun; 2 onion; 2 mushroom; 1 paprika; 4 cloves garlic; 1 cup cheese
Chicken Gnocchi Salad (Style 2),"chicken, gnocchi, spinach, tomato, onion, butter","Combine spinach, chicken, and gnocchi, dress with butter and onion, toss well.",Italian,2,11,200g chicken; 3 gnocchi; 1 spinach; 2 tomato; 2 onion; 2 tbsp butter
Chicken Gnocchi Bowl (Style 3),"chicken, gnocchi, tomato, zucchini, basil, oregano, onion, garlic, olive oil","Cook gnocchi, top with seared chicken, fresh tomato, and a drizzle of olive oil.",Italian,4,23,200g chicken; 3 gnocchi; 2 tomato; 3 zucchini; 3 basil; 3 oregano; 3 onion; 2 cloves garlic; 3 tbsp olive oil
Bacon Pasta Skillet (Style 2),"bacon, pasta, lettuce, bell pepper, mustard, paprika, cheese","Brown bacon in cheese, add lettuce and mustard, fold in pasta, cook until done.",American,2,33,2 bacon; 300g pasta; 2 lettuce; 1 bell pepper; 3 mustard; 3 paprika; 1 cup cheese
Chicken Polenta Baked (Style 2),"chicken, polenta, basil, bell pepper, onion, olive oil","Layer chicken, basil, and polenta, top with olive oil, bake until golden.",Italian,2,46,150g chicken; 2 polenta; 2 basil; 3 bell pepper; 2 onion; 3 tbsp olive oil
Chicken Couscous Soup (Style 2),"chicken, couscous, olive, spinach, onion, oregano, yogurt","Simmer chicken, olive, and oregano in broth, add couscous near the end, season and serve.",Mediterranean,6,45,200g chicken; 150g couscous; 1 olive; 2 spinach; 2 onion; 2 oregano; 1 cup yogurt
White Beans Pita Skillet (Style 2),"white beans, pita, onion, spinach, olive, mint, lemon, garlic, olive oil","Brown white beans in olive oil, add onion and mint, fold in pita, cook until done.",Mediterranean,6,21,3 white beans; 1 pita; 3 onion; 2 spinach; 2 olive; 3 mint; 1 lemon; 4 cloves garlic; 1 tbsp olive oil
Egg Risotto Rice Baked (Style 3),"egg, risotto rice, tomato, spinach, onion, oregano, garlic, butter","Layer egg, tomato, and risotto rice, top with butter, bake until golden.",Italian,4,56,1 egg; 1 risotto rice; 3 tomato; 2 spinach; 2 onion; 2 oregano; 4 cloves garlic; 2 tbsp butter
Chickpeas Naan Bowl (Style 3),"chickpeas, naan, cauliflower, peas, cumin, garlic, oil","Cook naan, top with seared chickpeas, fresh cauliflower, and a drizzle of oil.",Indian,4,24,1 chickpeas; 2 naan; 3 cauliflower; 1 peas; 2 cumin; 2 cloves garlic; 3 tbsp oil
Black Beans Bread Salad (Style 2),"black beans, bread, onion, bell pepper, mushroom, mustard, paprika, olive oil","Combine onion, black beans, and bread, dress with olive oil and mustard, toss well.",American,4,20,1 black beans; 1 bread; 3 onion; 1 bell pepper; 3 mushroom; 1 mustard; 1 paprika; 3 tbsp olive oil
White Beans Risotto Rice Soup (Style 2),"white beans, risotto rice, zucchini, spinach, oregano, butter","Simmer white beans, zucchini, and oregano in broth, add risotto rice near the end, season and serve.",Italian,2,37,3 white beans; 3 risotto rice; 2 zucchini; 2 spinach; 3 oregano; 2 tbsp butter
Shrimp Rice Noodles Salad (Style 3),"shrimp, rice noodles, carrot, broccoli, basil, bean sprouts, garlic, ginger, coconut milk","Combine carrot, shrimp, and rice noodles, dress with coconut milk and garlic, toss well.",Thai,6,19,400g shrimp; 1 rice noodles; 1 carrot; 1 broccoli; 1 basil; 3 bean sprouts; 3 cloves garlic; 2 tbsp ginger; 1 cup coconut milk
Chickpeas Bulgur Salad (Style 3),"chickpeas, bulgur, eggplant, cucumber, parsley, yogurt","Combine eggplant, chickpeas, and bulgur, dress with yogurt and parsley, toss well.",Mediterranean,4,10,3 chickpeas; 300g bulgur; 3 eggplant; 2 cucumber; 3 parsley; 1 cup yogurt
Shrimp Noodles Salad (Style 3),"shrimp, noodles, scallion, bell pepper, bok choy, sesame oil, vegetable oil","Combine scallion, shrimp, and noodles, dress with vegetable oil and sesame oil, toss well.",Chinese,4,19,400g shrimp; 200g noodles; 3 scallion; 2 bell pepper; 3 bok choy; 1 tsp sesame oil; 1 tbsp vegetable oil
Edamame Rice Wrap (Style 2),"edamame, rice, seaweed, spinach, scallion, carrot, soy sauce, sesame, garlic, vegetable oil","Fill rice with edamame, seaweed, and vegetable oil, season with soy sauce, roll and serve.",Japanese,6,11,3 edamame; 300g rice; 3 seaweed; 3 spinach; 1 scallion; 2 carrot; 1 soy sauce; 3 sesame; 3 cloves garlic; 2 tbsp vegetable oil
Chicken Couscous Skillet (Style 3),"chicken, couscous, spinach, olive, onion, oregano, garlic, olive oil","Brown chicken in olive oil, add spinach and oregano, fold in couscous, cook until done.",Mediterranean,2,28,400g chicken; 200g couscous; 1 spinach; 1 olive; 1 onion; 3 oregano; 4 cloves garlic; 2 tbsp olive oil
Chicken Naan Wrap,"chicken, naan, cauliflower, peas, spinach, tomato, cilantro, garam masala, oil","Fill naan with chicken, cauliflower, and oil, season with cilantro, roll and serve.",Indian,3,12,200g chicken; 3 naan; 1 cauliflower; 1 peas; 1 spinach; 2 tomato; 1 cilantro; 1 garam masala; 2 tbsp oil
Feta Orzo Soup (Style 3),"feta, orzo, olive, tomato, oregano, lemon, mint, yogurt","Simmer feta, olive, and oregano in broth, add orzo near the end, season and serve.",Mediterranean,2,38,200g feta; 3 orzo; 2 olive; 1 tomato; 3 oregano; 2 lemon; 3 mint; 1 cup yogurt
Bacon Bread Skillet,"bacon, bread, tomato, onion, mustard, garlic, paprika, cheese","Brown bacon in cheese, add tomato and mustard, fold in bread, cook until done.",American,6,24,1 bacon; 2 bread; 3 tomato; 2 onion; 3 mustard; 3 cloves garlic; 3 paprika; 2 cup cheese
Chicken Basmati Rice Curry (Style 3),"chicken, basmati rice, onion, peas, spinach, cilantro, garlic, cumin, ghee","Saute cilantro, add chicken and onion, simmer in sauce until tender, serve over basmati rice.",Indian,2,44,400g chicken; 400g basmati rice; 1 onion; 2 peas; 1 spinach; 2 cilantro; 3 cloves garlic; 2 cumin; 3 tbsp ghee
Bacon Bread Baked (Style 2),"bacon, bread, mushroom, corn, bell pepper, lettuce, garlic, mayo","Layer bacon, mushroom, and bread, top with mayo, bake until golden.",American,2,57,3 bacon; 3 bread; 2 mushroom; 2 corn; 3 bell pepper; 2 lettuce; 3 cloves garlic; 1 mayo
Shrimp Jasmine Rice Baked (Style 2),"shrimp, jasmine rice, carrot, broccoli, basil, bean sprouts, lemongrass, lime, garlic, peanut","Layer shrimp, carrot, and jasmine rice, top with peanut, bake until golden.",Thai,2,40,400g shrimp; 300g jasmine rice; 2 carrot; 1 broccoli; 3 basil; 2 bean sprouts; 3 lemongrass; 1 lime; 4 cloves garlic; 1 peanut
Lamb Naan Curry (Style 2),"lamb, naan, peas, tomato, ginger, garlic, ghee","Saute ginger, add lamb and peas, simmer in sauce until tender, serve over naan.",Indian,6,36,150g lamb; 1 naan; 2 peas; 1 tomato; 2 tbsp ginger; 4 cloves garlic; 3 tbsp ghee
Lentils Naan Salad,"lentils, naan, cauliflower, tomato, peas, onion, garlic, ginger, coconut milk","Combine cauliflower, lentils, and naan, dress with coconut milk and garlic, toss well.",Indian,2,11,3 lentils; 3 naan; 1 cauliflower; 2 tomato; 3 peas; 3 onion; 2 cloves garlic; 2 tbsp ginger; 2 cup coconut milk
Beef Ramen Noodles Soup (Style 3),"beef, ramen noodles, carrot, cabbage, seaweed, soy sauce, sesame oil","Simmer beef, carrot, and soy sauce in broth, add ramen noodles near the end, season and serve.",Japanese,2,35,150g beef; 3 ramen noodles; 2 carrot; 3 cabbage; 1 seaweed; 1 soy sauce; 1 tsp sesame oil
Salmon Ramen Noodles Salad (Style 2),"salmon, ramen noodles, carrot, spinach, scallion, seaweed, garlic, sesame, soy sauce, sesame oil","Combine carrot, salmon, and ramen noodles, dress with sesame oil and garlic, toss well.",Japanese,2,19,300g salmon; 3 ramen noodles; 2 carrot; 3 spinach; 2 scallion; 3 seaweed; 3 cloves garlic; 2 sesame; 2 soy sauce; 1 tsp sesame oil
Shrimp Risotto Rice Curry,"shrimp, risotto rice, basil, zucchini, oregano, garlic, olive oil","Saute oregano, add shrimp and basil, simmer in sauce until tender, serve over risotto rice.",Italian,4,37,250g shrimp; 3 risotto rice; 1 basil; 3 zucchini; 3 oregano; 3 cloves garlic; 1 tbsp olive oil
Pork Rice Stir-Fry,"pork, rice, onion, jalapeno, avocado, garlic, olive oil","Heat oil in a wok, stir-fry pork until cooked, add onion and garlic, toss with rice and serve hot.",Mexican,2,19,250g pork; 200g rice; 2 onion; 3 jalapeno; 1 avocado; 4 cloves garlic; 3 tbsp olive oil
Turkey Bun Tacos,"turkey, bun, mushroom, lettuce, onion, mustard, butter","Cook turkey with mustard, load into bun with mushroom and butter.",American,4,24,1 turkey; 1 bun; 2 mushroom; 2 lettuce; 1 onion; 1 mustard; 3 tbsp butter
Beef Corn Stir-Fry,"beef, corn, lettuce, jalapeno, garlic, cumin, sour cream","Heat oil in a wok, stir-fry beef until cooked, add lettuce and garlic, toss with corn and serve hot.",Mexican,2,20,200g beef; 2 corn; 2 lettuce; 2 jalapeno; 3 cloves garlic; 3 cumin; 1 sour cream
Pork Rice Soup,"pork, rice, jalapeno, lettuce, cilantro, garlic, cumin, olive oil","Simmer pork, jalapeno, and cilantro in broth, add rice near the end, season and serve.",Mexican,2,42,300g pork; 150g rice; 1 jalapeno; 2 lettuce; 1 cilantro; 3 cloves garlic; 2 cumin; 3 tbsp olive oil
Chicken Couscous Tacos (Style 3),"chicken, couscous, eggplant, tomato, spinach, onion, mint, garlic, parsley, feta","Cook chicken with mint, load into couscous with eggplant and feta.",Mediterranean,4,29,150g chicken; 250g couscous; 3 eggplant; 1 tomato; 3 spinach; 2 onion; 2 mint; 2 cloves garlic; 2 parsley; 400g feta
Shrimp Pasta Wrap (Style 2),"shrimp, pasta, spinach, tomato, zucchini, onion, oregano, olive oil","Fill pasta with shrimp, spinach, and olive oil, season with onion, roll and serve.",Italian,4,10,200g shrimp; 150g pasta; 1 spinach; 3 tomato; 2 zucchini; 2 onion; 1 oregano; 1 tbsp olive oil
Bacon Rice Skillet,"bacon, rice, corn, tomato, lettuce, garlic, mustard, paprika, mayo","Brown bacon in mayo, add corn and garlic, fold in rice, cook until done.",American,3,28,3 bacon; 300g rice; 2 corn; 3 tomato; 3 lettuce; 2 cloves garlic; 3 mustard; 1 paprika; 2 mayo
Bacon Potato Baked (Style 3),"bacon, potato, mushroom, tomato, garlic, paprika, mustard, mayo","Layer bacon, mushroom, and potato, top with mayo, bake until golden.",American,3,54,1 bacon; 3 potato; 2 mushroom; 2 tomato; 3 cloves garlic; 2 paprika; 2 mustard; 3 mayo
Turkey Potato Wrap,"turkey, potato, tomato, corn, onion, garlic, mustard, paprika, mayo","Fill potato with turkey, tomato, and mayo, season with garlic, roll and serve.",American,4,15,3 turkey; 1 potato; 1 tomato; 3 corn; 2 onion; 2 cloves garlic; 3 mustard; 3 paprika; 1 mayo
Chickpeas Roti Tacos (Style 2),"chickpeas, roti, tomato, cauliflower, spinach, turmeric, yogurt","Cook chickpeas with turmeric, load into roti with tomato and yogurt.",Indian,3,30,1 chickpeas; 2 roti; 3 tomato; 2 cauliflower; 3 spinach; 1 turmeric; 1 cup yogurt
Tofu Rice Noodles Curry (Style 2),"tofu, rice noodles, basil, bell pepper, bean sprouts, broccoli, lemongrass, peanut","Saute lemongrass, add tofu and basil, simmer in sauce until tender, serve over rice noodles.",Thai,2,34,200g tofu; 3 rice noodles; 2 basil; 1 bell pepper; 2 bean sprouts; 3 broccoli; 3 lemongrass; 2 peanut
Beef Taco Shells Baked (Style 2),"beef, taco shells, tomato, avocado, bell pepper, lime, garlic, cumin, cheese","Layer beef, tomato, and taco shells, top with cheese, bake until golden.",Mexican,4,41,200g beef; 2 taco shells; 1 tomato; 3 avocado; 3 bell pepper; 2 lime; 3 cloves garlic; 3 cumin; 1 cup cheese
Egg Pita Skillet (Style 3),"egg, pita, cucumber, spinach, onion, tomato, parsley, olive oil","Brown egg in olive oil, add cucumber and parsley, fold in pita, cook until done.",Mediterranean,6,33,3 egg; 1 pita; 1 cucumber; 1 spinach; 2 onion; 3 tomato; 3 parsley; 2 tbsp olive oil
Turkey Bun Baked (Style 2),"turkey, bun, mushroom, corn, bell pepper, mustard, cheese","Layer turkey, mushroom, and bun, top with cheese, bake until golden.",American,4,46,3 turkey; 1 bun; 1 mushroom; 2 corn; 2 bell pepper; 1 mustard; 1 cup cheese
Salmon Rice Skillet (Style 3),"salmon, rice, scallion, spinach, mushroom, garlic, sesame, miso, sesame oil","Brown salmon in sesame oil, add scallion and garlic, fold in rice, cook until done.",Japanese,6,29,150g salmon; 150g rice; 2 scallion; 3 spinach; 1 mushroom; 3 cloves garlic; 2 sesame; 3 miso; 1 tsp sesame oil
Bacon Rice Baked (Style 2),"bacon, rice, corn, onion, bell pepper, garlic, olive oil","Layer bacon, corn, and rice, top with olive oil, bake until golden.",American,6,59,3 bacon; 250g rice; 1 corn; 3 onion; 2 bell pepper; 4 cloves garlic; 3 tbsp olive oil
Shrimp Tortilla Curry (Style 2),"shrimp, tortilla, bell pepper, avocado, lettuce, onion, cilantro, olive oil","Saute cilantro, add shrimp and bell pepper, simmer in sauce until tender, serve over tortilla.",Mexican,6,34,200g shrimp; 1 tortilla; 2 bell pepper; 2 avocado; 3 lettuce; 3 onion; 2 cilantro; 2 tbsp olive oil
Lamb Bulgur Wrap (Style 3),"lamb, bulgur, olive, eggplant, tomato, garlic, parsley, feta","Fill bulgur with lamb, olive, and feta, season with garlic, roll and serve.",Mediterranean,3,11,300g lamb; 200g bulgur; 2 olive; 2 eggplant; 1 tomato; 3 cloves garlic; 1 parsley; 300g feta
Lentils Potato Soup (Style 3),"lentils, potato, tomato, cauliflower, ginger, ghee","Simmer lentils, tomato, and ginger in broth, add potato near the end, season and serve.",Indian,4,45,3 lentils; 2 potato; 3 tomato; 3 cauliflower; 3 tbsp ginger; 3 tbsp ghee
Turkey Bread Tacos,"turkey, bread, corn, bell pepper, mustard, mayo","Cook turkey with mustard, load into bread with corn and mayo.",American,6,27,2 turkey; 2 bread; 2 corn; 1 bell pepper; 1 mustard; 1 mayo
Beef Risotto Rice Salad (Style 2),"beef, risotto rice, basil, tomato, mushroom, oregano, parmesan","Combine basil, beef, and risotto rice, dress with parmesan and oregano, toss well.",Italian,3,16,250g beef; 3 risotto rice; 1 basil; 1 tomato; 2 mushroom; 2 oregano; 1 cup parmesan
Egg Polenta Wrap,"egg, polenta, tomato, bell pepper, onion, oregano, olive oil","Fill polenta with egg, tomato, and olive oil, season with onion, roll and serve.",Italian,2,14,2 egg; 1 polenta; 3 tomato; 2 bell pepper; 1 onion; 3 oregano; 2 tbsp olive oil
Sausage Bread Soup (Style 3),"sausage, bread, spinach, mushroom, basil, zucchini, onion, oregano, garlic, butter","Simmer sausage, spinach, and onion in broth, add bread near the end, season and serve.",Italian,2,49,2 sausage; 3 bread; 3 spinach; 3 mushroom; 1 basil; 3 zucchini; 3 onion; 3 oregano; 2 cloves garlic; 1 tbsp butter
White Beans Pita Soup,"white beans, pita, onion, tomato, garlic, olive oil","Simmer white beans, onion, and garlic in broth, add pita near the end, season and serve.",Mediterranean,3,35,1 white beans; 2 pita; 2 onion; 1 tomato; 3 cloves garlic; 3 tbsp olive oil
Edamame Udon Tacos (Style 2),"edamame, udon, spinach, seaweed, sesame, soy sauce, vegetable oil","Cook edamame with sesame, load into udon with spinach and vegetable oil.",Japanese,6,29,3 edamame; 1 udon; 3 spinach; 3 seaweed; 1 sesame; 3 soy sauce; 1 tbsp vegetable oil
Pork Tortilla Curry,"pork, tortilla, avocado, lettuce, jalapeno, bell pepper, cumin, cheese","Saute cumin, add pork and avocado, simmer in sauce until tender, serve over tortilla.",Mexican,3,45,150g pork; 3 tortilla; 3 avocado; 2 lettuce; 3 jalapeno; 3 bell pepper; 1 cumin; 2 cup cheese
Lamb Roti Curry,"lamb, roti, tomato, onion, cilantro, garlic, turmeric, ghee","Saute cilantro, add lamb and tomato, simmer in sauce until tender, serve over roti.",Indian,6,37,300g lamb; 1 roti; 1 tomato; 3 onion; 3 cilantro; 4 cloves garlic; 3 turmeric; 3 tbsp ghee
Paneer Naan Soup (Style 2),"paneer, naan, cauliflower, onion, spinach, peas, cilantro, garam masala, ghee","Simmer paneer, cauliflower, and cilantro in broth, add naan near the end, season and serve.",Indian,3,37,200g paneer; 1 naan; 1 cauliflower; 3 onion; 3 spinach; 3 peas; 3 cilantro; 1 garam masala; 3 tbsp ghee
Tofu Rice Noodles Wrap (Style 2),"tofu, rice noodles, basil, bell pepper, carrot, garlic, coconut milk","Fill rice noodles with tofu, basil, and coconut milk, season with garlic, roll and serve.",Thai,3,12,400g tofu; 3 rice noodles; 3 basil; 2 bell pepper; 1 carrot; 4 cloves garlic; 1 cup coconut milk
Shrimp Tortilla Baked,"shrimp, tortilla, bell pepper, tomato, lettuce, garlic, lime, cilantro, sour cream","Layer shrimp, bell pepper, and tortilla, top with sour cream, bake until golden.",Mexican,4,55,200g shrimp; 3 tortilla; 1 bell pepper; 3 tomato; 1 lettuce; 4 cloves garlic; 3 lime; 2 cilantro; 1 sour cream
Lentils Naan Skillet,"lentils, naan, cauliflower, onion, garam masala, coconut milk","Brown lentils in coconut milk, add cauliflower and garam masala, fold in naan, cook until done.",Indian,6,28,3 lentils; 1 naan; 3 cauliflower; 1 onion; 3 garam masala; 2 cup coconut milk
Beef Taco Shells Salad,"beef, taco shells, tomato, onion, lettuce, avocado, garlic, cumin, cilantro, cheese","Combine tomato, beef, and taco shells, dress with cheese and garlic, toss well.",Mexican,2,18,300g beef; 2 taco shells; 1 tomato; 1 onion; 3 lettuce; 1 avocado; 2 cloves garlic; 3 cumin; 2 cilantro; 1 cup cheese
Edamame Udon Salad,"edamame, udon, mushroom, spinach, scallion, carrot, sesame, soy sauce, ginger, sesame oil","Combine mushroom, edamame, and udon, dress with sesame oil and sesame, toss well.",Japanese,6,20,1 edamame; 2 udon; 2 mushroom; 1 spinach; 1 scallion; 1 carrot; 1 sesame; 3 soy sauce; 1 tbsp ginger; 2 tsp sesame oil
Egg Jasmine Rice Stir-Fry (Style 3),"egg, jasmine rice, basil, bell pepper, carrot, chili, garlic, lemongrass, peanut","Heat oil in a wok, stir-fry egg until cooked, add basil and chili, toss with jasmine rice and serve hot.",Thai,4,15,3 egg; 150g jasmine rice; 1 basil; 2 bell pepper; 2 carrot; 1 chili; 2 cloves garlic; 3 lemongrass; 1 peanut
Shrimp Pasta Bowl (Style 2),"shrimp, pasta, mushroom, tomato, oregano, onion, olive oil","Cook pasta, top with seared shrimp, fresh mushroom, and a drizzle of olive oil.",Italian,3,27,250g shrimp; 250g pasta; 1 mushroom; 3 tomato; 2 oregano; 1 onion; 3 tbsp olive oil
Egg Couscous Wrap,"egg, couscous, olive, cucumber, spinach, tomato, lemon, olive oil","Fill couscous with egg, olive, and olive oil, season with lemon, roll and serve.",Mediterranean,3,13,2 egg; 150g couscous; 3 olive; 3 cucumber; 2 spinach; 2 tomato; 2 lemon; 3 tbsp olive oil
Pork Rice Noodles Stir-Fry (Style 2),"pork, rice noodles, basil, bell pepper, lemongrass, peanut","Heat oil in a wok, stir-fry pork until cooked, add basil and lemongrass, toss with rice noodles and serve hot.",Thai,2,25,300g pork; 2 rice noodles; 1 basil; 2 bell pepper; 2 lemongrass; 3 peanut
Paneer Potato Pasta (Style 2),"paneer, potato, peas, spinach, cauliflower, onion, garlic, yogurt","Boil potato, saute paneer with garlic, toss with peas and yogurt.",Indian,6,21,300g paneer; 1 potato; 2 peas; 2 spinach; 3 cauliflower; 1 onion; 3 cloves garlic; 2 cup yogurt
Egg Taco Shells Salad (Style 2),"egg, taco shells, lettuce, jalapeno, lime, garlic, cilantro, olive oil","Combine lettuce, egg, and taco shells, dress with olive oil and lime, toss well.",Mexican,2,19,3 egg; 3 taco shells; 1 lettuce; 3 jalapeno; 3 lime; 4 cloves garlic; 3 cilantro; 2 tbsp olive oil
Pork Dumpling Wrappers Salad (Style 3),"pork, dumpling wrappers, snow peas, bok choy, sesame oil, garlic, ginger, vegetable oil","Combine snow peas, pork, and dumpling wrappers, dress with vegetable oil and sesame oil, toss well.",Chinese,4,20,250g pork; 1 dumpling wrappers; 2 snow peas; 1 bok choy; 2 tsp sesame oil; 2 cloves garlic; 1 tbsp ginger; 1 tbsp vegetable oil
